QUERY_ID,TOTAL_ELAPSED_TIME,COMPILATION_TIME,EXECUTION_TIME,ROWS_PRODUCED,WAREHOUSE_NAME,QUERY_TEXT,UDF
01a7e891-0001-82b4-0000-0004f187336d,127835,219,11048,1000000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 1000000,calc_fac_simple
01a7e891-0001-82b4-0000-0004f1873369,116818,220,2187,10000,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 10000,calc_fac_simple
01a7e891-0001-82ae-0000-0004f1874311,114624,184,1817,100,SMALL_TEST_WH,select calc_fac_simple(*) from demodb.udf_testing.udf_test limit 100,calc_fac_simple
01a7e891-0001-82b4-0000-0004f1873365,182524,242,73180,10000000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_vectorized
01a7e891-0001-82ae-0000-0004f187430d,115750,176,15011,1000000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_vectorized
01a7e891-0001-82b4-0000-0004f1873361,109327,233,2858,10000,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 10000,add_rows_vectorized
01a7e891-0001-82ae-0000-0004f1874309,100812,131,2834,100,SMALL_TEST_WH,select add_rows_vectorized(*) from demodb.udf_testing.udf_test limit 100,add_rows_vectorized
01a7e891-0001-82b4-0000-0004f187335d,167465,223,77921,10000000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_simple
01a7e891-0001-82b4-0000-0004f1873359,98066,152,9959,1000000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 1000000,add_rows_simple
01a7e891-0001-82b4-0000-0004f1873355,88144,175,2263,10000,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 10000,add_rows_simple
01a7e891-0001-82ae-0000-0004f1874305,85903,202,2114,100,SMALL_TEST_WH,select add_rows_simple(*) from demodb.udf_testing.udf_test limit 100,add_rows_simple
01a7e891-0001-82ae-0000-0004f1874301,926020,192,875770,10000000,SMALL_TEST_WH,select add_rows_simple_with_pandas(*) from demodb.udf_testing.udf_test limit 10000000,add_rows_simple_with_pandas
